0,1,2,3,4,5,6,7
序号,作者,作品,类型,进度,字数,作品积分,发表时间
56,稚楚,悬日,原创-纯爱-近代现代-爱情,完结,573822,11143557120,2022-06-25 20:52:00
57,淮上,不死者,原创-纯爱-近代现代-爱情,完结,395652,11047143424,2017-04-19 18:00:37
58,颜凉雨,空降热搜[娱乐圈],原创-纯爱-近代现代-爱情,完结,870101,10926783488,2017-06-17 12:00:00
59,君sola,探虚陵现代篇,原创-百合-近代现代-爱情,连载,3024350,10908824576,2012-03-21 11:25:31
60,骑鲸南去,万有引力[无限流],原创-纯爱-近代现代-爱情,完结,1331753,10808087552,2020-08-28 18:00:00
61,酱子贝,我死对头终于破产了,原创-纯爱-近代现代-爱情,完结,429794,10700707840,2019-03-11 20:00:00
62,MRA,直播写纯爱文的我在虫族封神,原创-纯爱-幻想未来-爱情,连载,1055908,10682141696,2023-03-19 17:04:55
63,西子绪,为了和谐而奋斗,原创-纯爱-近代现代-爱情,完结,902938,10227757056,2016-12-02 10:00:00
64,李温酒,天才维修师,原创-纯爱-幻想未来-剧情,完结,2599619,10129929216,2022-09-09 16:25:00
65,非天夜翔,图灵密码,原创-纯爱-近代现代-爱情,完结,609163,10069409792,2018-08-17 11:11:11
66,长洱,犯罪心理,原创-纯爱-近代现代-悬疑,完结,1240173,9908216832,2015-10-14 00:55:01
67,漫漫何其多,影帝,原创-纯爱-近代现代-爱情,完结,301842,9732623360,2017-01-28 11:40:00
68,比卡比,三嫁咸鱼,原创-纯爱-架空历史-爱情,完结,507294,9611441152,2021-07-20 12:00:00
69,木苏里,黑天,原创-纯爱-幻想未来-剧情,完结,407647,9458108416,2017-04-12 13:38:38
70,青衣杏林,我是龙傲天他惨死的爹[穿书],原创-纯爱-架空历史-仙侠,连载,4219253,9405916160,2022-01-11 00:31:00
71,非天夜翔,定海浮生录,原创-纯爱-古色古香-传奇,完结,822889,9399529472,2019-01-21 11:11:11
72,西子绪,快穿之完美命运,原创-纯爱-近代现代-爱情,完结,1054708,9276124160,2016-05-05 12:20:00
73,春风遥,禁止套娃［无限］,原创-纯爱-近代现代-爱情,完结,1156287,8889764864,2022-09-12 12:15:44
74,玄笺,放肆[娱乐圈],原创-百合-近代现代-爱情,完结,2250064,8710370304,2019-06-10 18:00:00
75,蝶之灵,星卡大师（重生）,原创-纯爱-幻想未来-游戏,完结,1760795,8611893248,2018-10-09 11:30:00
76,一十四洲,C语言修仙,原创-纯爱-幻想未来-科幻,完结,492481,8583291392,2019-03-20 06:00:00
77,望三山,我靠美颜稳住天下,原创-纯爱-架空历史-爱情,完结,689594,8460259840,2020-07-15 09:00:00
78,蝶之灵,卡牌密室（重生）,原创-纯爱-幻想未来-悬疑,完结,2389790,8391697408,2019-07-10 11:30:00
79,公子于歌,情敌每天都在变美[穿书],原创-纯爱-近代现代-爱情,完结,786329,8372431872,2019-09-10 09:00:00
80,木瓜黄,危险人格,原创-纯爱-近代现代-爱情,完结,569059,8365048832,2020-12-29 20:00:00
81,一十四洲,仙道第一小白脸,原创-纯爱-架空历史-仙侠,完结,651701,8340230656,2018-07-20 06:00:00
82,马户子君,臣好柔弱啊,原创-纯爱-架空历史-爱情,完结,357925,8337329664,2023-01-04 09:00:00
83,语笑阑珊,山海高中,原创-纯爱-近代现代-奇幻,完结,452186,8321711616,2019-11-13 18:30:00
84,拉棉花糖的兔子,我爱种田,原创-纯爱-近代现代-轻小说,完结,595146,8307373568,2018-07-08 20:00:00
85,颜凉雨,子夜十,原创-纯爱-近代现代-爱情,完结,1308887,8301856768,2019-05-07 10:00:00
86,碉堡堡,拯救悲情反派进行时！,原创-纯爱-幻想未来-爱情,完结,1427465,8171689984,2021-09-12 01:16:15
87,拉棉花糖的兔子,道医,原创-纯爱-近代现代-轻小说,完结,523127,8139736576,2019-04-30 20:00:00
88,稚楚,BE狂魔求生系统[快穿],原创-纯爱-近代现代-爱情,完结,590701,8080627712,2018-06-13 08:48:28
89,淮上,提灯映桃花,原创-纯爱-近代现代-爱情,完结,490608,8063203328,2015-09-25 18:25:01
90,非天夜翔,夺梦,原创-纯爱-近代现代-爱情,完结,926967,8039464960,2018-02-11 11:11:11
91,吕天逸,没钱,原创-纯爱-近代现代-奇幻,完结,368980,7963561472,2018-12-13 17:33:00
92,priest,六爻,原创-纯爱-架空历史-传奇,完结,529422,7953086464,2014-06-13 20:05:03
93,龙柒,荣光[电竞],原创-纯爱-近代现代-爱情,完结,1183809,7911750656,2020-01-27 08:15:00
94,风流书呆,学神在手，天下我有,原创-纯爱-架空历史-传奇,完结,1947015,7907496448,2020-05-04 09:00:00
95,微风几许,薄雾［无限］,原创-纯爱-幻想未来-爱情,完结,432403,7864325120,2020-02-21 12:00:00
96,七流,全球进化后我站在食物链顶端,原创-纯爱-幻想未来-剧情,完结,611444,7864216576,2021-05-04 00:27:27
97,望三山,被将军掳走之后,原创-纯爱-架空历史-爱情,完结,813510,7842833408,2022-03-19 00:00:59
98,非天夜翔,天宝伏妖录,原创-纯爱-古色古香-传奇,完结,1053744,7744992256,2017-04-01 09:00:00
99,红口白牙,沙雕渣攻今天又渣了我,原创-纯爱-近代现代-爱情,完结,445152,7726296576,2020-02-05 13:00:00
100,墨西柯,魔尊他念念不忘,原创-纯爱-架空历史-仙侠,完结,487704,7686868480,2021-01-28 18:18:18
101,林知落,新世纪，新冥界,原创-纯爱-近代现代-奇幻,完结,701610,7683919872,2019-01-11 12:00:00
102,缘何故,古董下山,原创-纯爱-近代现代-爱情,完结,693047,7584276992,2018-09-18 18:00:00
103,风流书呆,快穿之打脸狂魔,原创-纯爱-近代现代-爱情,完结,946742,7537165312,2015-03-06 22:17:11
104,一十四洲,方尖碑,原创-纯爱-幻想未来-爱情,连载,1179403,7454174208,2020-10-17 06:00:00
105,木苏里,文物不好惹,原创-纯爱-近代现代-奇幻,完结,311373,7447290880,2015-01-28 22:00:02
106,妾在山阳,失忆后多了的前男友,原创-纯爱-近代现代-爱情,完结,1659967,7434318848,2022-04-09 08:00:00
107,微风几许,小行星,原创-纯爱-幻想未来-爱情,完结,414284,7407042048,2019-08-16 18:00:00
108,颜凉雨,子夜鸮,原创-纯爱-近代现代-爱情,完结,897160,7384903680,2018-06-15 19:00:00
109,青色羽翼,魔尊也想知道,原创-纯爱-架空历史-爱情,完结,331190,7328454656,2019-12-19 04:00:00
110,巫哲,熔城,原创-纯爱-幻想未来-科幻,完结,475989,7295851008,2020-04-06 10:40:00
