序号,作者,作品,01162024,01092024,12312023
101,缘何故,古董下山,7578113024,7580735488,7584276992
102,风流书呆,快穿之打脸狂魔,7549802496,7543652864,7537165312
103,妾在山阳,失忆后多了的前男友,7529473536,7496854528,7434318848
104,一十四洲,方尖碑,7498761216,7485133824,7454174208
105,木苏里,文物不好惹,7486422528,7472093184,7447290880
106,微风几许,小行星,7427656192,7420303360,7407042048
107,颜凉雨,子夜鸮,7390436352,7387748864,7384903680
108,青色羽翼,魔尊也想知道,7351140352,7340746752,7328454656
109,木苏里,阴客,7300748288,7286867456,7261362688
110,巫哲,熔城,7298297856,7298328576,7295851008
111,拉棉花糖的兔子,我要这盛世美颜有何用,7285398016,7284086784,7283190784
112,妾在山阳,穿成万人迷的炮灰竹马,7268384256,7254048768,7229880320
113,西子绪,寒剑栖桃花,7261354496,7260383744,7260262912
114,不是风动,全世界都在等我们分手,7192670720,7189266944,7184456192
115,睡芒,演技派,7175867392,7175179264,7174201344
116,一世华裳,该我上场带飞了[全息],7166755328,7158157824,7155825664
117,北南,心眼,6958569472,6948890624,6937424384
118,宿星川,本路人今天也在路过男主片场,6937069056,6928517632,6919465984
119,巫哲,格格不入,6891443712,6888669696,6883523584
120,公子于歌,男主们为什么都用这种眼神看我[娱乐圈],6880851456,6876731904,6871057920
121,蝶之灵,金牌教练（电竞）,6879836672,6870540288,6857274368
122,春风遥,天雷能有什么坏心思呢,6846050816,6847824384,6850722304
123,稚楚,幸存者偏差[无限],6794366464,6787182592,6773332480
124,甜画舫,主角攻受怎么为我打起来了,6778970112,6774494720,6771758592
125,马户子君,穿成反派的我靠沙雕苟活,6760960000,6745840640,6727128576
126,故筝,和影帝协议结婚之后,6702401024,6701797888,6700187136
127,风流书呆,灵媒,6639356928,6636244480,6632263680
128,小霄,百万UP学神天天演我,6634911744,6616970240,6597276672
129,连朔,穿成校草前男友[穿书],6583696896,6582106112,6576242688
130,语笑阑珊,帝王攻略,6549409792,6545970176,6541652480
131,龙柒,游戏加载中,6531225088,6532591104,6535090688
132,颜凉雨,丧病大学,6530954752,6522429952,6514874880
133,晏白白,惊！说好的选秀综艺竟然,6526304768,6525219840,6524512768
134,马户子君,穿成阴鸷反派的联姻对象,6505267712,6493508608,6475960320
135,莲鹤夫人,他与它,6407114752,6398395904,6389447680
136,楚寒衣青,纸片恋人,6398820864,6400942592,6402746368
137,十尾兔,该角色涉嫌开挂！[无限],6393654784,6386373632,6375296512
138,巫哲,狼行成双,6353387520,6351709696,6347831296
139,青色羽翼,忧郁先生想过平静生活,6353091072,6347929600,6342817280
140,木瓜黄,一觉醒来听说我结婚了,6332286464,6327060992,6310379520
141,碉堡堡,虫族之我来自远方,6322839040,6312237056,6299523072
142,鱼危,开局给魏尔伦戴了顶环保帽,6287741440,6289843712,6293419520
143,月下蝶影,不要物种歧视,6282313728,6284040192,6285716480
144,priest,过门,6279697408,6277828096,6273741824
145,苏景闲,咬上你指尖,6185441280,6185704960,6185906176
146,青色羽翼,高能二维码,6184475648,6177649664,6171147264
147,提灯怼月,同时给四位大佬当备胎后[穿书],6183465984,6182969344,6183123968
148,漫漫何其多,想起我叫什么了吗,6170217472,6170265600,6169891328
149,吕天逸,你是不是喜欢我,6156384768,6154359808,6151219712
150,青色羽翼,我的理想小镇[无限],6143520256,6123908608,6112004096
151,睡芒,满天星,6136300544,6137534976,6138184192
152,多金少女猫,沙雕攻他重生了,6125004800,6113639424,6097711104
153,莫晨欢,第四视角,6108967936,6092537344,6078094336
154,芷衣,咸鱼小丧尸[无限],6081768448,6080370176,6078062592
155,路归途,夫郎家的赘婿首辅,6053305344,6050386944,6046737920
156,西西特,我有一个秘密,5988711424,5984491008,5979119616
157,颜凉雨,大雾,5982503936,5982054912,5980969472
158,非天夜翔,天地白驹,5973417984,5974712320,5975629312
159,今闲,你再躲试试,5964359168,5961904128,5958010880
160,妾在山阳,回到仙尊少年时[穿书],5919888384,5903468032,5880839168
161,月下蝶影,论以貌取人的下场,5900128768,5899697664,5899494400
162,林七年,别想掰弯我,5898014720,5890475520,5878201344
163,语笑阑珊,一剑霜寒,5853176320,5852812288,5852306432
164,即墨遥,攻略那个渣攻[快穿],5845361664,5845940736,5847025152
165,睡芒,初恋选我我超甜,5820874752,5821480960,5821965824
166,桑沃,无限流玩家退休以后,5800689152,5793608192,5782614016
167,巫哲,飞来横犬,5799672832,5796857344,5791194624
168,廿乱,看见我的猫了吗？[无限流],5772972544,5769011712,5763392000
169,priest,大哥,5752806912,5750918656,5746090496
170,拉棉花糖的兔子,神棍也要晚自习,5748561408,5708692480,5660771328
171,山柚子,和豪门大佬网恋后我红了,5743125504,5723003904,5710906880
172,木瓜黄,七芒星,5735217152,5730624000,5715801088
173,北南,偷风不偷月,5706139136,5687579136,5656947712
174,青梅酱,电竞魔王集结营,5603086336,5598250496,5586229248
175,桑沃,深渊巨龙苏醒以后,5600260608,5597592576,5593711616
176,百户千灯,协议结婚后我离不掉了,5597868032,5594552832,5579084800
177,绿野千鹤,临时保镖,5593052160,5592455168,5592189440
178,鳄人行山,谁说老二次元不能结婚！,5521053696,5506032640,5491702784
179,木苏里,大帝的挑刺日常,5511682560,5500937216,5481259008
180,梦溪石,无双,5492336640,5491744768,5491519488
181,菌行,花滑 我还是更适合参加奥运,5474784256,5474350592,5469988864
182,吾九殿,诡话第一boss,5465670656,5424014848,5338665472
183,木兮娘,大撞阴阳路,5419962368,5417710080,5415095808
184,语笑阑珊,江湖那么大,5410856448,5408102912,5407390720
185,温泉笨蛋,不许觊觎漂亮系统！！,5391521280,5390271488,5385690624
186,苏景闲,听说我很穷[娱乐圈],5389882368,5391006720,5392622080
187,缘何故,重生之豁然,5386873344,5387099648,5388838912
188,梦溪石,千秋,5368601600,5363799040,5357399040
189,酒暖春深,我亲爱的法医小姐,5366972928,5360317440,5350858240
190,木苏里,小剧场合集,5362444800,5342108160,5303325184
191,稚楚,除我以外全员非人[重生],5351387136,5345522688,5334523392
192,淮上,青龙图腾,5344067072,5339047424,5329904128
193,衣落成火,嫁给铁哥们,5302430720,5230606336,missing
194,若星若辰,穿成摄政王的侍爱逃妻,5289822720,5243287552,5164676096
195,绿野千鹤,酌鹿,5289450496,5286974976,5282433536
196,席未来,容修[娱乐圈],5261901312,5254800384,5242774528
197,淮上,银河帝国之刃,5241068544,5237240832,5231507968
198,巫哲,桃花源,5211606528,5191340544,missing
199,东施娘,穿进万人迷文的我人设崩了,5199742464,5199220736,5198897664
200,刘狗花,残疾战神嫁我为妾后,missing,missing,5184877056
201,千尽欢,成为了无限游戏美人NPC,missing,missing,5182029312
